PROGRAM	device-firmware-v51.bin
NOTE	This is Ghidra's current static classification, not a confirmed section map.
START	END	LENGTH	CLASS
0010edcc	0010edd3	0x8	DATA
0010edd4	0010ede7	0x14	CODE
0010ede8	0010edeb	0x4	DATA
0010edec	0010edff	0x14	CODE
0010ee00	0010ee03	0x4	DATA
0010ee04	0010ee1b	0x18	CODE
0010ee1c	0010ee1f	0x4	DATA
0010ee20	0010efbb	0x19c	CODE
0010efbc	0010efe5	0x2a	DATA
0010efe6	0010efe7	0x2	UNDEFINED
0010efe8	0010eff3	0xc	DATA
0010eff4	0010f0c3	0xd0	CODE
0010f0c4	0010f0cf	0xc	DATA
0010f0d0	0010f163	0x94	CODE
0010f164	0010f16b	0x8	DATA
0010f16c	0010f793	0x628	CODE
0010f794	0010f7a7	0x14	DATA
0010f7a8	001100b3	0x90c	CODE
001100b4	001100eb	0x38	DATA
001100ec	00110a3f	0x954	CODE
00110a40	00110a57	0x18	DATA
00110a58	00110cd3	0x27c	CODE
00110cd4	00110cd7	0x4	DATA
00110cd8	00110d47	0x70	CODE
00110d48	00110d4b	0x4	DATA
00110d4c	00110d57	0xc	CODE
00110d58	00110d5b	0x4	DATA
00110d5c	00110e8f	0x134	CODE
00110e90	00110e93	0x4	DATA
00110e94	00110f67	0xd4	CODE
00110f68	00110f73	0xc	DATA
00110f74	0011100f	0x9c	CODE
00111010	00111013	0x4	DATA
00111014	00111203	0x1f0	CODE
00111204	0011120f	0xc	DATA
00111210	001112b7	0xa8	CODE
001112b8	001112bb	0x4	DATA
001112bc	0011132b	0x70	CODE
0011132c	00111343	0x18	DATA
00111344	00111553	0x210	CODE
00111554	0011156b	0x18	DATA
0011156c	001115b3	0x48	CODE
001115b4	001115b7	0x4	DATA
001115b8	00111617	0x60	CODE
00111618	0011161b	0x4	DATA
0011161c	001116c3	0xa8	CODE
001116c4	001116c7	0x4	DATA
001116c8	001118e3	0x21c	CODE
001118e4	001118e7	0x4	DATA
001118e8	00111acb	0x1e4	CODE
00111acc	00111adf	0x14	DATA
00111ae0	0011278f	0xcb0	CODE
00112790	0011279b	0xc	DATA
0011279c	001127ab	0x10	CODE
001127ac	001127af	0x4	DATA
001127b0	00112867	0xb8	CODE
00112868	00112877	0x10	DATA
00112878	001128cb	0x54	CODE
001128cc	001128df	0x14	DATA
001128e0	0011291f	0x40	CODE
00112920	0011292f	0x10	DATA
00112930	001129d3	0xa4	CODE
001129d4	001129e7	0x14	DATA
001129e8	00112a93	0xac	UNDEFINED
00112a94	00112ba7	0x114	CODE
00112ba8	00112baf	0x8	DATA
00112bb0	00112c63	0xb4	CODE
00112c64	00112c67	0x4	DATA
00112c68	00112cc7	0x60	CODE
00112cc8	00112ccb	0x4	DATA
00112ccc	00112cdb	0x10	CODE
00112cdc	00112cdf	0x4	DATA
00112ce0	00112d3b	0x5c	CODE
00112d3c	00112d43	0x8	DATA
00112d44	00112d57	0x14	CODE
00112d58	00112d5b	0x4	DATA
00112d5c	00112d9b	0x40	CODE
00112d9c	00112dab	0x10	DATA
00112dac	00112e2b	0x80	CODE
00112e2c	00112e3f	0x14	DATA
00112e40	00112f43	0x104	CODE
00112f44	00112f63	0x20	DATA
00112f64	0011303b	0xd8	CODE
0011303c	0011305b	0x20	DATA
0011305c	00113073	0x18	CODE
00113074	00113077	0x4	DATA
00113078	0011308b	0x14	CODE
0011308c	0011308f	0x4	DATA
00113090	001130a7	0x18	UNDEFINED
001130a8	001131d3	0x12c	CODE
001131d4	001131d7	0x4	DATA
001131d8	00113257	0x80	CODE
00113258	0011325b	0x4	DATA
0011325c	00113ab3	0x858	CODE
00113ab4	00113abb	0x8	DATA
00113abc	00113bbb	0x100	CODE
00113bbc	00113bcf	0x14	DATA
00113bd0	00113bdf	0x10	CODE
00113be0	00113be7	0x8	DATA
00113be8	00113d8f	0x1a8	CODE
00113d90	00113d93	0x4	DATA
00113d94	00113ebb	0x128	UNDEFINED
00113ebc	00113f13	0x58	CODE
00113f14	00113f1b	0x8	DATA
00113f1c	00113f3b	0x20	CODE
00113f3c	00113f3f	0x4	DATA
00113f40	00113f43	0x4	UNDEFINED
00113f44	00113f4f	0xc	CODE
00113f50	00113f53	0x4	DATA
00113f54	00113fb3	0x60	CODE
00113fb4	00113fb7	0x4	DATA
00113fb8	00114713	0x75c	CODE
00114714	00114723	0x10	DATA
00114724	001149ff	0x2dc	CODE
00114a00	00114a0b	0xc	DATA
00114a0c	00114adf	0xd4	CODE
00114ae0	00114ae3	0x4	DATA
00114ae4	00114c57	0x174	CODE
00114c58	00114c5f	0x8	DATA
00114c60	00114ccf	0x70	UNDEFINED
00114cd0	00114df7	0x128	CODE
00114df8	00114dfb	0x4	DATA
00114dfc	0011507b	0x280	CODE
0011507c	0011508b	0x10	DATA
0011508c	001150ff	0x74	CODE
00115100	0011510f	0x10	DATA
00115110	00115113	0x4	UNDEFINED
00115114	0011511b	0x8	CODE
0011511c	0011511f	0x4	UNDEFINED
00115120	0011517f	0x60	CODE
00115180	00115187	0x8	DATA
00115188	0011519b	0x14	CODE
0011519c	0011519f	0x4	DATA
001151a0	001151bf	0x20	CODE
001151c0	001151c7	0x8	DATA
001151c8	001151df	0x18	CODE
001151e0	001151e3	0x4	DATA
001151e4	001155bf	0x3dc	CODE
001155c0	001155cb	0xc	DATA
001155cc	00115703	0x138	UNDEFINED
00115704	001157a3	0xa0	CODE
001157a4	001157ab	0x8	DATA
001157ac	001157f3	0x48	CODE
001157f4	001157f7	0x4	DATA
001157f8	00115847	0x50	CODE
00115848	0011584b	0x4	DATA
0011584c	0011590b	0xc0	CODE
0011590c	0011590f	0x4	DATA
00115910	001159ab	0x9c	CODE
001159ac	001159af	0x4	DATA
001159b0	001159f7	0x48	CODE
001159f8	001159fb	0x4	DATA
001159fc	00115b57	0x15c	CODE
00115b58	00115b5b	0x4	DATA
00115b5c	00115b67	0xc	CODE
00115b68	00115b6b	0x4	DATA
00115b6c	00115c4f	0xe4	CODE
00115c50	00115c53	0x4	DATA
00115c54	00115c5f	0xc	CODE
00115c60	00115c63	0x4	DATA
00115c64	00115cff	0x9c	CODE
00115d00	00115d8b	0x8c	UNDEFINED
00115d8c	00115dab	0x20	CODE
00115dac	00115db3	0x8	DATA
00115db4	00115de3	0x30	CODE
00115de4	00115deb	0x8	DATA
00115dec	00115f2b	0x140	CODE
00115f2c	00115f43	0x18	DATA
00115f44	00115f8f	0x4c	CODE
00115f90	00115f9b	0xc	DATA
00115f9c	00116047	0xac	CODE
00116048	00116053	0xc	DATA
00116054	00116123	0xd0	CODE
00116124	00116147	0x24	DATA
00116148	0011638b	0x244	CODE
0011638c	00116397	0xc	DATA
00116398	00116403	0x6c	CODE
00116404	0011640b	0x8	DATA
0011640c	0011641b	0x10	CODE
0011641c	0011641f	0x4	DATA
00116420	0011643f	0x20	CODE
00116440	00116443	0x4	DATA
00116444	0011648f	0x4c	CODE
00116490	00116497	0x8	DATA
00116498	001164bb	0x24	CODE
001164bc	001164c3	0x8	DATA
001164c4	001164d3	0x10	CODE
001164d4	001164d7	0x4	DATA
001164d8	001164f7	0x20	CODE
001164f8	001164fb	0x4	DATA
001164fc	0011655f	0x64	CODE
00116560	00116563	0x4	DATA
00116564	00116573	0x10	CODE
00116574	00116577	0x4	DATA
00116578	0011663b	0xc4	CODE
0011663c	00116643	0x8	DATA
00116644	0011676f	0x12c	CODE
00116770	00116773	0x4	DATA
00116774	0011683f	0xcc	CODE
00116840	00116857	0x18	DATA
00116858	001168a7	0x50	CODE
001168a8	001168ab	0x4	DATA
001168ac	00116bb3	0x308	CODE
00116bb4	00116bbf	0xc	DATA
00116bc0	00116c83	0xc4	CODE
00116c84	00116c87	0x4	UNDEFINED
00116c88	00116d3b	0xb4	CODE
00116d3c	00116d43	0x8	DATA
00116d44	00116d93	0x50	CODE
00116d94	00116d9f	0xc	DATA
00116da0	00116df3	0x54	CODE
00116df4	00116dfb	0x8	DATA
00116dfc	00116e0f	0x14	CODE
00116e10	00116e13	0x4	DATA
00116e14	001170bf	0x2ac	CODE
001170c0	001170cf	0x10	DATA
001170d0	001170e3	0x14	CODE
001170e4	001170e7	0x4	DATA
001170e8	00117153	0x6c	CODE
00117154	00117157	0x4	DATA
00117158	001173db	0x284	CODE
001173dc	001173eb	0x10	DATA
001173ec	00117913	0x528	CODE
00117914	00117927	0x14	DATA
00117928	0011793f	0x18	CODE
00117940	00117947	0x8	DATA
00117948	00117ab3	0x16c	CODE
00117ab4	00117ad7	0x24	DATA
00117ad8	00117c37	0x160	CODE
00117c38	00117c3f	0x8	DATA
00117c40	00117d13	0xd4	CODE
00117d14	00117d1b	0x8	DATA
00117d1c	00117dc7	0xac	CODE
00117dc8	00117dcf	0x8	DATA
00117dd0	00117fdf	0x210	CODE
00117fe0	00117feb	0xc	DATA
00117fec	0011803b	0x50	CODE
0011803c	0011803f	0x4	DATA
00118040	001181eb	0x1ac	CODE
001181ec	001181f7	0xc	DATA
001181f8	0011820b	0x14	CODE
0011820c	0011820f	0x4	DATA
00118210	001182af	0xa0	CODE
001182b0	001182b3	0x4	DATA
001182b4	001188af	0x5fc	CODE
001188b0	001188bf	0x10	DATA
001188c0	00118adf	0x220	CODE
00118ae0	00118aef	0x10	DATA
00118af0	00118ca7	0x1b8	CODE
00118ca8	00118cab	0x4	DATA
00118cac	00118e43	0x198	CODE
00118e44	00118e47	0x4	DATA
00118e48	001190c3	0x27c	CODE
001190c4	001190cb	0x8	DATA
001190cc	0011927f	0x1b4	CODE
00119280	00119293	0x14	DATA
00119294	001192f7	0x64	CODE
001192f8	001192fb	0x4	DATA
001192fc	00119577	0x27c	CODE
00119578	0011957b	0x4	DATA
0011957c	001196a3	0x128	CODE
001196a4	001196a7	0x4	DATA
001196a8	001199bf	0x318	CODE
001199c0	001199c3	0x4	DATA
001199c4	00119d13	0x350	CODE
00119d14	00119e17	0x104	UNDEFINED
00119e18	00119edb	0xc4	CODE
00119edc	00119edf	0x4	DATA
00119ee0	00119f0f	0x30	CODE
00119f10	00119f17	0x8	DATA
00119f18	00119fe7	0xd0	CODE
00119fe8	00119feb	0x4	DATA
00119fec	0011a1cb	0x1e0	UNDEFINED
0011a1cc	0011a1d7	0xc	DATA
0011a1d8	0011a4ab	0x2d4	UNDEFINED
0011a4ac	0011a5f7	0x14c	CODE
0011a5f8	0011a603	0xc	DATA
0011a604	0011a6a7	0xa4	UNDEFINED
0011a6a8	0011aca7	0x600	CODE
0011aca8	0011acb7	0x10	DATA
0011acb8	0011b36b	0x6b4	CODE
0011b36c	0011b397	0x2c	DATA
0011b398	0011be57	0xac0	CODE
0011be58	0011be6b	0x14	DATA
0011be6c	0011cad3	0xc68	CODE
0011cad4	0011cae3	0x10	DATA
0011cae4	0011d73b	0xc58	CODE
0011d73c	0011d74f	0x14	DATA
0011d750	0011e19f	0xa50	CODE
0011e1a0	0011e1af	0x10	DATA
0011e1b0	0011ea3f	0x890	CODE
0011ea40	0011ea43	0x4	DATA
0011ea44	0011f583	0xb40	CODE
0011f584	0011f587	0x4	DATA
0011f588	00120083	0xafc	CODE
00120084	00120087	0x4	DATA
00120088	00120b7f	0xaf8	CODE
00120b80	00120b83	0x4	DATA
00120b84	00120ea3	0x320	CODE
00120ea4	00120ea7	0x4	DATA
00120ea8	0012103f	0x198	CODE
00121040	00121043	0x4	DATA
00121044	001211e3	0x1a0	CODE
001211e4	001211e7	0x4	DATA
001211e8	0012148b	0x2a4	CODE
0012148c	00121497	0xc	DATA
00121498	001217b7	0x320	CODE
001217b8	001217bb	0x4	DATA
001217bc	0012192f	0x174	CODE
00121930	00121933	0x4	DATA
00121934	00121adb	0x1a8	CODE
00121adc	00121adf	0x4	DATA
00121ae0	00121c4f	0x170	CODE
00121c50	00121c57	0x8	DATA
00121c58	00121eeb	0x294	CODE
00121eec	00121eef	0x4	DATA
00121ef0	001220d3	0x1e4	CODE
001220d4	001220d7	0x4	DATA
001220d8	001222ab	0x1d4	CODE
001222ac	001222b3	0x8	DATA
001222b4	00122587	0x2d4	CODE
00122588	0012258b	0x4	UNDEFINED
0012258c	0012274b	0x1c0	CODE
0012274c	0012274f	0x4	DATA
00122750	00122837	0xe8	CODE
00122838	0012283b	0x4	DATA
0012283c	0012284b	0x10	CODE
0012284c	0012284f	0x4	DATA
00122850	0012285f	0x10	CODE
00122860	00122863	0x4	DATA
00122864	00122873	0x10	CODE
00122874	00122877	0x4	DATA
00122878	001228a7	0x30	CODE
001228a8	0012294f	0xa8	DATA
00122950	00122a27	0xd8	CODE
00122a28	00122a6f	0x48	DATA
00122a70	00122a7f	0x10	CODE
00122a80	00122a83	0x4	DATA
00122a84	00122a93	0x10	CODE
00122a94	00122a97	0x4	DATA
00122a98	00122aa7	0x10	CODE
00122aa8	00122aab	0x4	DATA
00122aac	00122b87	0xdc	CODE
00122b88	00122bc3	0x3c	DATA
00122bc4	00122ceb	0x128	CODE
00122cec	00122cef	0x4	DATA
00122cf0	00122dd7	0xe8	CODE
00122dd8	00122ddb	0x4	DATA
00122ddc	00122e2b	0x50	CODE
00122e2c	00122e2f	0x4	DATA
00122e30	00122e7f	0x50	CODE
00122e80	00122e83	0x4	DATA
00122e84	001231e3	0x360	CODE
001231e4	001231e7	0x4	DATA
001231e8	0012328b	0xa4	CODE
0012328c	001233e3	0x158	UNDEFINED
001233e4	0012358b	0x1a8	CODE
0012358c	00123597	0xc	DATA
00123598	00123cc3	0x72c	CODE
00123cc4	00123ccb	0x8	DATA
00123ccc	00123e3b	0x170	CODE
00123e3c	00123e47	0xc	DATA
00123e48	001242b3	0x46c	CODE
001242b4	001242bf	0xc	DATA
001242c0	001243d7	0x118	CODE
001243d8	00124497	0xc0	UNDEFINED
00124498	001245bf	0x128	CODE
001245c0	001245cf	0x10	DATA
001245d0	00124637	0x68	CODE
00124638	0012464f	0x18	DATA
00124650	00124667	0x18	CODE
00124668	00124673	0xc	DATA
00124674	001246af	0x3c	CODE
001246b0	001246b3	0x4	DATA
001246b4	001246d3	0x20	CODE
001246d4	001246d7	0x4	DATA
001246d8	0012479b	0xc4	CODE
0012479c	001247b7	0x1c	DATA
001247b8	00124977	0x1c0	CODE
00124978	00124987	0x10	DATA
00124988	00124a8f	0x108	CODE
00124a90	00124aab	0x1c	DATA
00124aac	00124ac7	0x1c	CODE
00124ac8	00124ae3	0x1c	DATA
00124ae4	00125003	0x520	CODE
00125004	00125007	0x4	DATA
00125008	00125127	0x120	CODE
00125128	0012512b	0x4	DATA
0012512c	00125273	0x148	CODE
00125274	00125277	0x4	DATA
00125278	00125343	0xcc	CODE
00125344	0012534b	0x8	DATA
0012534c	001253db	0x90	CODE
001253dc	001253e3	0x8	DATA
001253e4	001254cf	0xec	CODE
001254d0	001254d3	0x4	DATA
001254d4	00125537	0x64	CODE
00125538	00125557	0x20	DATA
00125558	0012574f	0x1f8	CODE
00125750	00125753	0x4	DATA
00125754	001257fb	0xa8	CODE
001257fc	001257ff	0x4	DATA
00125800	001258a7	0xa8	CODE
001258a8	001258ab	0x4	DATA
001258ac	00126177	0x8cc	CODE
00126178	00126183	0xc	DATA
00126184	001262a3	0x120	CODE
001262a4	001262a7	0x4	DATA
001262a8	00126367	0xc0	CODE
00126368	0012636b	0x4	DATA
0012636c	00126427	0xbc	CODE
00126428	0012642b	0x4	DATA
0012642c	0012658b	0x160	CODE
0012658c	0012658f	0x4	DATA
00126590	001266a3	0x114	UNDEFINED
